PC1,PC2,PC3
33,73,45
43,18,11
78,68,16
23,61,82
7,61,39
71,18,74
62,69,1
34,-2,36
79,61,44
22,88,35
63,66,10
36,103,62
82,54,45
109,72,46
22,66,55
27,32,30
57,35,25
15,39,67
28,-35,43
21,83,52
23,59,55
95,-18,58
60,71,21
21,-1,46
11,54,61
45,84,77
5,15,30
94,28,59
80,25,62
37,54,9
67,64,8
54,81,94
26,55,20
42,55,25
27,1,24
144,47,43
116,67,47
67,73,34
38,58,-2
57,51,48
11,94,45
85,53,58
74,87,22
88,28,53
38,26,27
40,16,32
43,72,-7
3,7,40
27,67,90
63,43,23
8,49,51
65,64,2
15,28,16
8,84,54
47,73,-11
60,74,35
17,10,66
91,49,69
28,41,13
51,70,36
4,0,37
15,7,26
72,75,50
81,21,36
70,23,26
60,69,43
132,73,55
-3,51,78
99,38,37
90,24,59
55,0,23
23,94,66
62,7,27
98,84,35
67,29,89
30,78,26
9,29,47
52,90,28
108,17,58
51,94,42
69,54,34
88,82,8
106,80,32
-2,64,80
60,43,111
20,55,47
115,26,45
72,83,42
105,27,33
44,48,67
131,61,34
108,67,31
32,16,11
25,50,29
78,101,-1
26,82,23
61,76,20
30,56,61
107,56,40
60,31,34
48,45,36
59,-9,39
8,80,71
9,52,61
60,33,70
70,3,30
40,49,63
86,88,24
84,93,-6
93,36,33
7,78,75
56,85,20
51,83,43
73,26,30
20,38,31
45,91,69
30,31,18
115,52,30
16,82,73
83,88,37
20,2,26
15,56,69
3,5,40
137,78,51
1,59,55
67,0,69
59,87,12
12,14,26
19,77,68
24,1,11
118,54,65
137,56,57
39,75,22
100,22,56
75,1,97
10,33,28
22,37,15
15,37,17
73,48,25
52,76,52
118,29,76
74,78,-6
64,78,64
19,82,70
39,55,32
122,49,33
38,60,101
21,45,27
5,34,42
59,80,28
124,70,28
114,-22,76
27,44,98
115,-2,56
69,74,45
71,82,10
0,71,74
29,58,19
22,75,26
54,-3,30
16,29,72
6,45,37
73,26,42
21,70,43
137,70,41
39,69,24
11,46,46
43,41,24
72,72,48
126,67,35
54,40,11
143,70,65
128,47,42
61,88,11
34,85,50
72,60,25
60,46,55
73,28,52
75,46,12
19,69,27
31,61,57
80,80,51
28,62,47
6,60,46
29,72,65
39,66,1
29,42,15
120,70,83
8,56,65
75,75,86
26,88,62
40,82,0
73,-8,56
100,22,50
-6,48,84
118,37,47
22,66,41
110,21,60
64,34,105
74,42,17
62,-9,88
66,-12,39
44,16,27
106,4,72
33,75,19
59,78,28
8,41,37
52,33,20
34,85,39
19,51,33
25,80,47
16,47,21
44,-38,51
55,77,71
122,24,58
43,69,10
101,17,47
29,49,51
17,21,28
9,81,61
51,66,-1
48,14,17
25,83,28
140,73,59
1,31,50
14,-14,17
82,20,47
6,70,79
20,100,66
44,54,7
24,47,33
99,67,38
124,52,66
82,47,56
79,52,79
59,51,112
65,70,90
109,-17,87
80,60,84
43,52,99
149,79,47
9,25,90
113,50,82
118,49,66
45,45,7
36,69,71
87,-8,95
83,-15,70
11,44,70
66,36,97
43,40,83
20,81,54
128,53,59
-5,54,78
79,70,70
35,-2,66
32,82,60
94,57,33
84,51,85
114,78,73
41,75,58
74,65,57
106,42,57
142,62,37
56,68,40
37,70,58
67,48,71
9,19,50
54,52,47
50,61,63
94,31,115
97,72,45
71,57,73
7,44,50
101,26,52
32,55,88
105,67,75
40,54,83
44,75,71
80,64,19
41,48,44
112,32,73
83,57,87
99,83,85
104,81,72
88,55,15
70,43,85
95,66,18
81,48,2
61,-2,30
19,31,81
22,73,89
90,54,47
63,58,72
121,22,73
10,6,41
62,31,43
51,42,46
74,62,29
106,61,47
61,95,30
107,14,83
72,55,97
76,82,33
36,76,39
57,102,36
17,66,31
93,58,77
60,65,59
92,78,21
79,32,92
77,81,28
42,86,41
48,64,95
43,49,87
33,60,34
120,26,75
62,95,98
43,61,34
58,61,87
33,85,58
50,40,70
44,82,66
100,70,67
88,48,54
89,65,80
116,66,68
25,73,36
23,62,48
19,61,34
35,-14,47
71,35,66
68,55,34
48,60,41
80,79,94
129,70,37
56,-5,48
50,29,64
20,61,78
38,-10,54
23,47,53
34,26,53
79,76,10
47,67,26
50,71,50
47,21,37
95,-14,69
92,80,72
46,47,62
11,34,38
64,60,74
36,43,32
43,27,32
59,51,60
37,59,54
30,79,20
108,98,66
29,46,64
107,69,64
-8,9,82
86,73,52
62,17,35
114,77,39
44,2,24
60,31,37
124,15,60
43,67,4
31,56,100
35,-5,89
25,50,35
54,85,16
37,60,74
83,34,60
60,59,19
42,59,49
52,68,34
66,77,52
49,77,18
46,47,13
94,0,49
57,73,102
0,-18,56
127,27,43
36,66,70
55,73,8
93,85,62
9,50,43
44,41,35
75,8,50
60,81,100
29,17,102
107,45,82
129,-23,53
104,74,99
42,1,111
40,12,117
68,-5,81
70,39,101
